"feedback_text","sentiment_label"
"Mặc dù stress nặng nhưng em vẫn vẫn học ổn.","NEUTRAL"
"ổn định nhưng thực tế em lại stress nặng.","NEGATIVE"
"Gần đây lịch học không còn là nỗi lo nữa, em thấy hứng thú hẳn lên.","POSITIVE"
"Em chill hơn hẳn lắm – môi trường lớp tích cực giúp em nhiều.","POSITIVE"
"Em thấy đuối sức – yêu cầu môn học và không có tài liệu rõ ràng cộng lại quá sức.","NEGATIVE"
"Cũng ổn thôi, khối lượng kiến thức vừa sức với em.","NEUTRAL"
"Em dễ nản khi học cách chấm điểm – áp lực từ nhiều môn cùng lúc.","NEGATIVE"
"Học deadline bài tập ổn, nhưng em chưa có cảm hứng gì đặc biệt.","NEUTRAL"
"Môn này không khó như em nghĩ ban đầu.","POSITIVE"
"Em đang mất động lực vì bài kiểm tra giữa kỳ, stress lắm rồi.","NEGATIVE"
"Em thấy nản lắm rồi – nội dung khó và tiến độ học quá nhanh cộng lại quá sức.","NEGATIVE"
"Nhờ bạn nhóm hợp tác tốt, em thấy ổn áp với cách chấm điểm hơn rồi.","POSITIVE"
"Hơi stress nặng nhưng em vẫn nắm được ý chính.","NEUTRAL"
"Dạo này bài thực hành khiến em bị quá tải, không có tài liệu rõ ràng.","NEGATIVE"
"Dạo này bài thực hành khiến em đuối sức, em đang thiếu ngủ ghê.","NEGATIVE"
"Em thấy khá ổn với các yêu cầu môn học, không hơn không kém.","NEUTRAL"
"Em thích được học theo nhóm nhỏ hơn, trao đổi được nhiều hơn.","POSITIVE"
"bài giảng được cải thiện nhiều nên em thấy hiểu bài nhanh hơn khi học deadline bài tập.","POSITIVE"
"Tuy mất động lực nhưng em vẫn hiểu được nội dung.","NEUTRAL"
"cách dạy hơi khó theo khiến em hoang mang thật sự với deadline bài tập.","NEGATIVE"
"bài tập quá nhiều so với thời gian khiến em stress liên tục với tiến độ học kỳ.","NEGATIVE"
"tiến độ nhanh nhưng em vẫn làm được bài tập tốt.","POSITIVE"
"Giờ học căng thẳng, em ra về là đầu óc trống không.","NEGATIVE"
"bài giảng được cải thiện nhiều nên em thấy thấy tiến bộ rõ khi học yêu cầu môn học.","POSITIVE"
"Em ổn áp lắm – bạn nhóm hợp tác tốt giúp em nhiều.","POSITIVE"
"Em tự tin hơn trước nhiều lắm – được hướng dẫn chi tiết hơn giúp em nhiều.","POSITIVE"
"Em thấy tiến bộ rõ lắm – tài liệu rõ ràng hơn giúp em nhiều.","POSITIVE"
"Mặc dù mất động lực nhưng em vẫn vẫn học ổn.","NEUTRAL"
"Gần đây cách giải thích của thầy cô không còn là nỗi lo nữa, em thấy hiểu bài nhanh hơn.","POSITIVE"
"bài giảng được cải thiện nhiều nên em thấy tự tin hơn trước nhiều khi học khối lượng kiến thức.","POSITIVE"
"Em vẫn theo kịp các yêu cầu môn học, nhưng cần đọc thêm ngoài giờ.","NEUTRAL"
"không hiểu bài mà ngại hỏi khiến em bị quá tải với cách chấm điểm.","NEGATIVE"
"hiểu bài nhưng thực tế em lại đuối sức.","NEGATIVE"
"Em học theo được nhưng cần đọc thêm tài liệu ngoài.","NEUTRAL"
"Bài giảng nhanh quá, em ghi không kịp chứ chưa nói hiểu.","NEGATIVE"
"Hơi đuối sức nhưng em vẫn theo kịp bài.","NEUTRAL"
"Mặc dù đuối sức nhưng em vẫn vẫn học ổn.","NEUTRAL"
"Nhờ được hướng dẫn chi tiết hơn, em thấy chill hơn hẳn với khối lượng kiến thức hơn rồi.","POSITIVE"
"Em thấy khá tự tin khi học deadline bài tập, thầy/cô giải thích dễ hiểu lắm.","POSITIVE"
"Nhờ cách tổ chức môn hợp lý, em thấy khá tự tin với sự tương tác trong lớp hơn rồi.","POSITIVE"
"Nói chung thì ổn ạ.","NEUTRAL"
"em chủ động hỏi thêm nên em thấy rất thoải mái khi học hoạt động nhóm.","POSITIVE"
"Em đang ở mức trung bình với nội dung tuần này, không có gì nổi bật.","NEUTRAL"
"Dạo này bài tập nhóm khiến em không thở được, deadline dồn vào một tuần.","NEGATIVE"
"Em không quá dễ với nội dung tuần này, vẫn đang cố làm quen.","NEUTRAL"
"Dạo này deadline bài tập khiến em đầu óc quay tít, không hiểu bài mà ngại hỏi.","NEGATIVE"
"nhóm không làm việc được với nhau nên deadline bài tập làm em đầu óc quay tít liên tục.","NEGATIVE"
"Em hơi rối với lịch học, vẫn đang cố làm quen.","NEUTRAL"
"Hơi stress nặng nhưng em vẫn làm được bài tập.","NEUTRAL"
"học tốt nhưng thực tế em lại kiệt sức.","NEGATIVE"
"Nhờ bài giảng được cải thiện nhiều, em thấy chill hơn hẳn với deadline bài tập hơn rồi.","POSITIVE"
"Dạo này cách giải thích của thầy cô khiến em dễ tiếp thu hơn, có lẽ nhờ bài giảng được cải thiện nhiều.","POSITIVE"
"Em thấy chill hơn hẳn ạ, khối lượng kiến thức hợp với em hơn kỳ trước.","POSITIVE"
"bài nhiều mà thời gian không đủ nên yêu cầu môn học làm em bị quá tải liên tục.","NEGATIVE"
"Tưởng sẽ hiểu bài nhưng cuối cùng lại mất động lực.","NEGATIVE"
"Em chưa có cảm xúc gì mạnh với môn này, học xong rồi thôi.","NEUTRAL"
"lịch học không quá khó nhưng cũng chưa gây hứng thú cho em.","NEUTRAL"
"Dù lịch học dày nhưng em vẫn vẫn học ổn được.","POSITIVE"
"Feedback của cô rất cụ thể, em biết cần sửa chỗ nào.","POSITIVE"
"Em vẫn theo kịp khối lượng kiến thức, nhưng cần đọc thêm ngoài giờ.","NEUTRAL"
"Mặc dù mất động lực nhưng em vẫn nắm được ý chính.","NEUTRAL"
"em chủ động hỏi thêm nên em thấy hài lòng ghê khi học sự tương tác trong lớp.","POSITIVE"
"Em đang ở mức trung bình với bài kiểm tra giữa kỳ, khá ổn.","NEUTRAL"
"Dạo này yêu cầu môn học khiến em chill hơn hẳn, có lẽ nhờ thầy cô hỗ trợ nhiệt tình.","POSITIVE"
"Hơi mất động lực nhưng em vẫn nắm được ý chính.","NEUTRAL"
"Tuy quá tải thật sự nhưng em vẫn theo kịp bài.","NEUTRAL"
"Nhìn chung bài tập ổn, chưa cần can thiệp gì.","NEUTRAL"
"deadline nhiều nhưng em vẫn nắm được ý chính tốt.","POSITIVE"
"việc học nhóm theo kịp được, không phải vấn đề lớn.","NEUTRAL"
"Em đang ở mức trung bình với các yêu cầu môn học, khá ổn.","NEUTRAL"
"Em stress liên tục khi học bài kiểm tra giữa kỳ – bài nhiều mà thời gian không đủ.","NEGATIVE"
"Học nhóm hiệu quả ghê, em thích kiểu học này.","POSITIVE"
"Nhờ bài giảng được cải thiện nhiều, em thấy khá tự tin với sự tương tác trong lớp hơn rồi.","POSITIVE"
"Em đang mất động lực vì tiến độ học kỳ, stress lắm rồi.","NEGATIVE"
"môi trường lớp tích cực nên em thấy nhẹ đầu hơn nhiều khi học việc học nhóm.","POSITIVE"
"Mặc dù stress nặng nhưng em vẫn theo kịp bài.","NEUTRAL"
"Nhờ môi trường lớp tích cực, em thấy chill hơn hẳn với hoạt động nhóm hơn rồi.","POSITIVE"
"Em mất động lực khi học cách dạy – deadline dồn vào một tuần.","NEGATIVE"
"Em không quá khó với bài kiểm tra giữa kỳ, vẫn đang cố làm quen.","NEUTRAL"
"Hơi quá tải thật sự nhưng em vẫn hiểu được nội dung.","NEUTRAL"
"Em đuối sức khi học tiến độ học kỳ – nhóm không làm việc được với nhau.","NEGATIVE"
"Gần đây cách chấm điểm không còn là nỗi lo nữa, em thấy chill hơn hẳn.","POSITIVE"
"Em không quá khó với các yêu cầu môn học, vẫn đang cố làm quen.","NEUTRAL"
"Hơi đuối sức nhưng em vẫn vẫn học ổn.","NEUTRAL"
"Em khá tự tin lắm – thầy cô hỗ trợ nhiệt tình giúp em nhiều.","POSITIVE"
"việc học nhóm không quá khó nhưng cũng chưa gây hứng thú cho em.","NEUTRAL"
"Học bài tập ổn, nhưng em chưa có cảm hứng gì đặc biệt.","NEUTRAL"
"bài tập quá nhiều so với thời gian khiến em không tập trung được với tốc độ giảng bài.","NEGATIVE"
"Em thấy không tập trung được – bài kiểm tra giữa kỳ và em đang thiếu ngủ ghê cộng lại quá sức.","NEGATIVE"
"Em học nội dung tuần này được nhưng chưa thấy gì đặc biệt.","NEUTRAL"
"không có tài liệu rõ ràng nên tiến độ học kỳ làm em không tập trung được liên tục.","NEGATIVE"
"deadline dồn vào một tuần khiến em đuối sức với bài thực hành.","NEGATIVE"
"Nhờ tài liệu rõ ràng hơn, em thấy nhẹ đầu hơn nhiều với cách giải thích của thầy cô hơn rồi.","POSITIVE"
"Cứ nghĩ lịch học sẽ khó, nhưng em lại thấy hứng thú hẳn lên.","POSITIVE"
"Học deadline bài tập xong em thấy khá tự tin, hiểu ra nhiều thứ hơn.","POSITIVE"
"áp lực từ nhiều môn cùng lúc khiến em rất áp lực với tốc độ giảng bài.","NEGATIVE"
"Em yên tâm hơn nhiều lắm – bài giảng được cải thiện nhiều giúp em nhiều.","POSITIVE"
"Hơi quá tải thật sự nhưng em vẫn nắm được ý chính.","NEUTRAL"
"Em chưa có cảm xúc gì mạnh với việc học nhóm, vẫn đang cố làm quen.","NEUTRAL"
"Nhờ em chủ động hỏi thêm, em thấy tự tin hơn trước nhiều với tài liệu học tập hơn rồi.","POSITIVE"
"deadline dồn vào một tuần khiến em không thở được với khối lượng kiến thức.","NEGATIVE"
"Cô giải thích rõ ràng, em hiểu bài nhanh hơn nhiều.","POSITIVE"
"Nhóm em làm việc không hiệu quả, ai cũng mệt hết.","NEGATIVE"
"cách dạy hơi khó theo khiến em bị quá tải với tài liệu thiếu.","NEGATIVE"
"Em thấy ổn định – không có gì đáng lo nhưng cũng chưa thích lắm.","NEUTRAL"
"Chưa có gì nổi bật, mọi thứ đang ở mức trung bình.","NEUTRAL"
"Em thấy khó theo kịp vì bài tập nhóm tiến độ quá nhanh.","NEGATIVE"
"không có tài liệu rõ ràng khiến em hoang mang thật sự với bài kiểm tra giữa kỳ.","NEGATIVE"
"không hiểu bài mà ngại hỏi nên cách dạy làm em đầu óc quay tít liên tục.","NEGATIVE"
"Em thấy có động lực hơn hẳn khi học lịch học, thầy/cô giải thích dễ hiểu lắm.","POSITIVE"
"Hơi mất động lực nhưng em vẫn làm được bài tập.","NEUTRAL"
"Em học deadline bài tập được nhưng chưa thấy gì đặc biệt.","NEUTRAL"
"thầy cô hỗ trợ nhiệt tình nên em thấy nhẹ đầu hơn nhiều khi học sự tương tác trong lớp.","POSITIVE"
"Mặc dù kiệt sức nhưng em vẫn hiểu được nội dung.","NEUTRAL"
"Dạo này bài thực hành khiến em có động lực hơn hẳn, có lẽ nhờ tài liệu rõ ràng hơn.","POSITIVE"
"bài kiểm tra giữa kỳ bình thường, em học được nhưng cần thêm thời gian.","NEUTRAL"
"em chủ động hỏi thêm nên em thấy vui vì hiểu ra rồi khi học deadline bài tập.","POSITIVE"
"thầy cô hỗ trợ nhiệt tình nên em thấy dễ tiếp thu hơn khi học bài thực hành.","POSITIVE"
"Bình thường, em không thấy khó hơn các kỳ trước.","NEUTRAL"
"Nhờ bạn nhóm hợp tác tốt, em thấy chill hơn hẳn với sự tương tác trong lớp hơn rồi.","POSITIVE"
"Nhờ bạn nhóm hợp tác tốt, em thấy hiểu bài nhanh hơn với bài giảng hơn rồi.","POSITIVE"
"không có tài liệu rõ ràng khiến em hoang mang thật sự với tài liệu thiếu.","NEGATIVE"
"Em đang ở mức trung bình với bài giảng, không quá khó.","NEUTRAL"
"lịch học bình thường, em học được nhưng cần thêm thời gian.","NEUTRAL"
"Thật ra feedback từ giảng viên cũng thú vị, em thấy khá tự tin khi làm quen rồi.","POSITIVE"
"Dạo này tiến độ học kỳ khiến em dễ nản, nhóm không làm việc được với nhau.","NEGATIVE"
"tốc độ giảng bài bình thường, em học được nhưng cần thêm thời gian.","NEUTRAL"
"Em vui vì hiểu ra rồi lắm – cách tổ chức môn hợp lý giúp em nhiều.","POSITIVE"
"Em thấy ổn áp khi học lịch học, thầy/cô giải thích dễ hiểu lắm.","POSITIVE"
"Em đang ở mức trung bình với bài giảng, ổn định.","NEUTRAL"
"Tài liệu thầy cho rõ ràng, em tự đọc được.","POSITIVE"
"bài hơi khó nhưng em vẫn làm được bài tập tốt.","POSITIVE"
"Tưởng sẽ ổn định nhưng cuối cùng lại stress nặng.","NEGATIVE"
"cách dạy theo kịp được, không phải vấn đề lớn.","NEUTRAL"
"bài tập quá nhiều so với thời gian nên bài thực hành làm em đầu óc quay tít liên tục.","NEGATIVE"
"Hơi stress nặng nhưng em vẫn vẫn học ổn.","NEUTRAL"
"cách dạy hơi khó theo khiến em không thở được với tốc độ giảng bài.","NEGATIVE"
"Dù bài hơi khó nhưng em vẫn làm được bài tập được.","POSITIVE"
"Em hài lòng ghê lắm – được hướng dẫn chi tiết hơn giúp em nhiều.","POSITIVE"
"Dạo này feedback từ giảng viên khiến em rất thoải mái, có lẽ nhờ tài liệu rõ ràng hơn.","POSITIVE"
"Nhìn lại thì feedback từ giảng viên không tệ chút nào, em cảm thấy có động lực hơn hẳn.","POSITIVE"
"Em thấy không quá khó với tốc độ giảng bài, không hơn không kém.","NEUTRAL"
"Dạo này lịch học dày khiến em khó theo kịp, tiến độ học quá nhanh.","NEGATIVE"
"Mặc dù quá tải thật sự nhưng em vẫn vẫn học ổn.","NEUTRAL"
"feedback từ giảng viên thật ra không khó như em nghĩ, em thấy vui vì hiểu ra rồi.","POSITIVE"
"Em thấy có động lực hơn hẳn ạ, tài liệu học tập hợp với em hơn kỳ trước.","POSITIVE"
"Em vừa phải với deadline bài tập, vẫn đang cố làm quen.","NEUTRAL"
"theo kịp nhưng thực tế em lại không theo kịp.","NEGATIVE"
"Tuy đuối sức nhưng em vẫn vẫn học ổn.","NEUTRAL"
"Dù lịch học dày nhưng em vẫn làm được bài tập được.","POSITIVE"
"Cũng ổn thôi, bài tập vừa sức với em.","NEUTRAL"
"Em thấy tiến bộ rõ lắm – bạn nhóm hợp tác tốt giúp em nhiều.","POSITIVE"
"Tưởng sẽ theo kịp nhưng cuối cùng lại stress nặng.","NEGATIVE"
"Dù bài hơi khó nhưng em vẫn hiểu được nội dung được.","POSITIVE"
"Nhìn chung cách dạy ổn, chưa cần can thiệp gì.","NEUTRAL"
"Mỗi lần đụng tới bài tập nhóm là em lại nản lắm rồi.","NEGATIVE"
"Dạo này tốc độ giảng bài khiến em thấy tiến bộ rõ, có lẽ nhờ thầy cô hỗ trợ nhiệt tình.","POSITIVE"
"Dạo này tiến độ học kỳ khiến em đuối sức, tiến độ học quá nhanh.","NEGATIVE"
"Nhìn lại thì khối lượng kiến thức không tệ chút nào, em cảm thấy yên tâm hơn nhiều.","POSITIVE"
"Tưởng sẽ học tốt nhưng cuối cùng lại mất động lực.","NEGATIVE"
"Em thấy căng thẳng nhẹ – không có gì đáng lo nhưng cũng chưa thích lắm.","NEUTRAL"
"Tưởng sẽ học tốt nhưng cuối cùng lại quá tải thật sự.","NEGATIVE"
"Em thấy hơi mệt với tốc độ giảng bài, không hơn không kém.","NEUTRAL"
"Em ổn định với khối lượng kiến thức, vẫn đang cố làm quen.","NEUTRAL"
"Dạo này lịch học khiến em dễ tiếp thu hơn, có lẽ nhờ bạn nhóm hợp tác tốt.","POSITIVE"
"không có tài liệu rõ ràng khiến em dễ nản với bài thực hành.","NEGATIVE"
"Em mất động lực khi học cách dạy – không hiểu bài mà ngại hỏi.","NEGATIVE"
"bài tập quá nhiều so với thời gian nên tốc độ giảng bài làm em dễ nản liên tục.","NEGATIVE"
"Em căng thẳng nhẹ với tốc độ giảng bài, vẫn đang cố làm quen.","NEUTRAL"
"tiến độ học quá nhanh khiến em muốn bỏ cuộc với tài liệu thiếu.","NEGATIVE"
"Em thấy đuối sức – deadline bài tập và cách dạy hơi khó theo cộng lại quá sức.","NEGATIVE"
"Em thấy tiến bộ rõ lắm – môi trường lớp tích cực giúp em nhiều.","POSITIVE"
"Tuy stress nặng nhưng em vẫn hiểu được nội dung.","NEUTRAL"
"áp lực từ nhiều môn cùng lúc nên kỳ thi cuối kỳ làm em rất áp lực liên tục.","NEGATIVE"
"áp lực từ nhiều môn cùng lúc khiến em không thở được với tài liệu thiếu.","NEGATIVE"
"Deadline dồn hết vào một tuần, em không thở được.","NEGATIVE"
"tốc độ giảng bài theo kịp được, không phải vấn đề lớn.","NEUTRAL"
"tiến độ học quá nhanh nên bài tập nhóm làm em đuối sức liên tục.","NEGATIVE"
"Dạo này bài tập nhóm khiến em dễ nản, không có tài liệu rõ ràng.","NEGATIVE"
"Em đang nản lắm rồi vì yêu cầu môn học, stress lắm rồi.","NEGATIVE"
"Em học cách dạy được nhưng chưa thấy gì đặc biệt.","NEUTRAL"
"Em học được với tài liệu, vẫn đang cố làm quen.","NEUTRAL"
"Em đang ở mức trung bình với tốc độ giảng bài, không quá dễ.","NEUTRAL"
"Dù tiến độ nhanh nhưng em vẫn hiểu được nội dung được.","POSITIVE"
"Em thấy không quá khó với tài liệu, không hơn không kém.","NEUTRAL"
"Tình trạng hiện tại của em là không thích không ghét thôi, chưa có chuyện gì.","NEUTRAL"
"không có tài liệu rõ ràng nên yêu cầu môn học làm em rất áp lực liên tục.","NEGATIVE"
"Mặc dù mất động lực nhưng em vẫn hiểu được nội dung.","NEUTRAL"
"bài giảng được cải thiện nhiều nên em thấy tự tin hơn trước nhiều khi học yêu cầu môn học.","POSITIVE"
"không có tài liệu rõ ràng khiến em không thở được với tiến độ học kỳ.","NEGATIVE"
"không có tài liệu rõ ràng nên yêu cầu môn học làm em hoang mang thật sự liên tục.","NEGATIVE"
"Em học việc học nhóm được nhưng chưa thấy gì đặc biệt.","NEUTRAL"
"việc học nhóm bình thường, em học được nhưng cần thêm thời gian.","NEUTRAL"
"Cứ nghĩ bài giảng sẽ khó, nhưng em lại thấy yên tâm hơn nhiều.","POSITIVE"
"Em đang ở mức trung bình với lịch học, bình thường.","NEUTRAL"
"Hơi kiệt sức nhưng em vẫn theo kịp bài.","NEUTRAL"
"Tình trạng hiện tại của em là ổn định thôi, chưa có chuyện gì.","NEUTRAL"
"bài giảng được cải thiện nhiều nên em thấy hiểu bài nhanh hơn khi học cách giải thích của thầy cô.","POSITIVE"
"Nhờ em chủ động hỏi thêm, em thấy khá tự tin với bài kiểm tra giữa kỳ hơn rồi.","POSITIVE"
"Cứ tới cách chấm điểm là em lại thấy rất áp lực, nản lắm.","NEGATIVE"
"thầy cô hỗ trợ nhiệt tình nên em thấy thấy tiến bộ rõ khi học tốc độ giảng bài.","POSITIVE"
"Em thấy hoang mang thật sự – khối lượng kiến thức và áp lực từ nhiều môn cùng lúc cộng lại quá sức.","NEGATIVE"
"Em học bài tập được nhưng chưa thấy gì đặc biệt.","NEUTRAL"
"Thật ra em đang rất mệt, học kiểu này không vào đầu được.","NEGATIVE"
"Nhờ môi trường lớp tích cực, em thấy hiểu bài nhanh hơn với cách chấm điểm hơn rồi.","POSITIVE"
"Học deadline bài tập xong em thấy thấy tiến bộ rõ, hiểu ra nhiều thứ hơn.","POSITIVE"
"Cũng ổn thôi, deadline bài tập vừa sức với em.","NEUTRAL"
"Học tài liệu học tập xong em thấy thấy tiến bộ rõ, hiểu ra nhiều thứ hơn.","POSITIVE"
"bài giảng không quá khó nhưng cũng chưa gây hứng thú cho em.","NEUTRAL"
"Dạo này tốc độ giảng bài khiến em có động lực hơn hẳn, có lẽ nhờ thầy cô hỗ trợ nhiệt tình.","POSITIVE"
"Mặc dù quá tải thật sự nhưng em vẫn hiểu được nội dung.","NEUTRAL"
"Mặc dù stress nặng nhưng em vẫn làm được bài tập.","NEUTRAL"
"Em thấy căng thẳng nhẹ với các yêu cầu môn học, không hơn không kém.","NEUTRAL"
"deadline bài tập bình thường, em học được nhưng cần thêm thời gian.","NEUTRAL"
"em chủ động hỏi thêm nên em thấy có động lực hơn hẳn khi học sự tương tác trong lớp.","POSITIVE"
"Em học được với bài giảng, vẫn đang cố làm quen.","NEUTRAL"
"Tuy quá tải thật sự nhưng em vẫn hiểu được nội dung.","NEUTRAL"
"Tưởng sẽ ổn định nhưng cuối cùng lại đuối sức.","NEGATIVE"
"Em vẫn theo kịp bài giảng, nhưng cần đọc thêm ngoài giờ.","NEUTRAL"
"không hiểu bài mà ngại hỏi khiến em không tập trung được với deadline bài tập.","NEGATIVE"
"Em bị quá tải khi học lịch học dày – không có tài liệu rõ ràng.","NEGATIVE"
